Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,target
0.964275081869604,0.25,0.023374429602501405,0.8666666666666667,0.3234131179070276,1.0,0.5,0.3333333333333333,0.0,0.3333333333333333,400.69513
0.2229830306638881,1.0,0.11873688085560115,0.26666666666666666,0.23584900834788308,0.2222222222222222,0.875,1.0,0.5,0.3333333333333333,256.2298
0.5980946710330455,0.25,0.3076744396337943,0.7333333333333333,0.8941399429834135,0.0,0.375,1.0,1.0,0.0,212.13007
0.1643346233998214,0.25,0.047548275848164505,0.8666666666666667,0.5244878055434309,0.2222222222222222,0.875,1.0,0.5,0.3333333333333333,246.79788
,0.5,0.3664575565151656,0.26666666666666666,0.8620689655172414,0.5555555555555556,0.0,0.3333333333333333,1.0,1.0,544.8637
0.31229532598987797,0.5,0.19718745906392818,0.4,0.36299991815800964,0.8888888888888888,0.25,0.6666666666666666,0.0,0.3333333333333333,212.13007
0.8809169395653469,0.5,0.2552287731901809,0.0,0.07721024525316457,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,698.6737
,0.25,0.0487660034307856,0.0,0.20916255183326066,0.5555555555555556,0.0,0.3333333333333333,1.0,1.0,929.6339
0.10419767788032151,0.5,0.3811843287690822,0.8666666666666667,0.2717563291139241,0.7777777777777778,0.625,1.0,0.5,0.3333333333333333,212.13007
0.08514438821077705,0.25,0.017607475925708115,0.0,0.660287538192929,0.2222222222222222,0.875,1.0,0.5,0.3333333333333333,477.76953
0.7171777314676987,0.25,0.3200159332712154,0.4,0.3681039597883021,0.2222222222222222,0.875,1.0,0.5,0.3333333333333333,212.13007
0.1211670139922596,0.25,0.32694466299761016,0.4,0.22762644587516373,0.7777777777777778,0.625,1.0,0.5,0.3333333333333333,212.13007
,0.25,0.5286141123837585,0.5333333333333333,0.8884527771715409,0.4444444444444444,0.0,0.6666666666666666,0.0,0.0,212.13007
